workshop,date,product,fact_qty
Цех 1,2025-01,Деталь А,111
Цех 1,2025-01,Узел Б,118
Цех 1,2025-01,Корпус В,105
Цех 1,2025-02,Деталь А,80
Цех 1,2025-02,Узел Б,121
Цех 1,2025-02,Корпус В,87
Цех 1,2025-03,Деталь А,82
Цех 1,2025-03,Узел Б,107
Цех 1,2025-03,Корпус В,106
Цех 1,2025-04,Деталь А,114
Цех 1,2025-04,Узел Б,106
Цех 1,2025-04,Корпус В,101
Цех 1,2025-05,Деталь А,86
Цех 1,2025-05,Узел Б,87
Цех 1,2025-05,Корпус В,98
Цех 1,2025-06,Деталь А,96
Цех 1,2025-06,Узел Б,77
Цех 1,2025-06,Корпус В,105
Цех 1,2025-07,Деталь А,111
Цех 1,2025-07,Узел Б,89
Цех 1,2025-07,Корпус В,0
Цех 1,2025-08,Деталь А,91
Цех 1,2025-08,Узел Б,86
Цех 1,2025-08,Корпус В,85
Цех 1,2025-09,Деталь А,105
Цех 1,2025-09,Узел Б,128
Цех 1,2025-09,Корпус В,113
Цех 1,2025-10,Деталь А,97
Цех 1,2025-10,Узел Б,100
Цех 1,2025-10,Корпус В,107
Цех 1,2025-11,Деталь А,92
Цех 1,2025-11,Узел Б,95
Цех 1,2025-11,Корпус В,116
Цех 1,2025-12,Деталь А,107
Цех 1,2025-12,Узел Б,91
Цех 1,2025-12,Корпус В,110
Цех 2,2025-01,Деталь А,92
Цех 2,2025-01,Узел Б,0
Цех 2,2025-01,Корпус В,89
Цех 2,2025-02,Деталь А,82
Цех 2,2025-02,Узел Б,77
Цех 2,2025-02,Корпус В,0
Цех 2,2025-03,Деталь А,85
Цех 2,2025-03,Узел Б,87
Цех 2,2025-03,Корпус В,111
Цех 2,2025-04,Деталь А,0
Цех 2,2025-04,Узел Б,89
Цех 2,2025-04,Корпус В,109
Цех 2,2025-05,Деталь А,87
Цех 2,2025-05,Узел Б,116
Цех 2,2025-05,Корпус В,104
Цех 2,2025-06,Деталь А,105
Цех 2,2025-06,Узел Б,88
Цех 2,2025-06,Корпус В,94
Цех 2,2025-07,Деталь А,0
Цех 2,2025-07,Узел Б,134
Цех 2,2025-07,Корпус В,119
Цех 2,2025-08,Деталь А,124
Цех 2,2025-08,Узел Б,123
Цех 2,2025-08,Корпус В,70
Цех 2,2025-09,Деталь А,93
Цех 2,2025-09,Узел Б,114
Цех 2,2025-09,Корпус В,89
Цех 2,2025-10,Деталь А,114
Цех 2,2025-10,Узел Б,70
Цех 2,2025-10,Корпус В,98
Цех 2,2025-11,Деталь А,98
Цех 2,2025-11,Узел Б,99
Цех 2,2025-11,Корпус В,105
Цех 2,2025-12,Деталь А,103
Цех 2,2025-12,Узел Б,90
Цех 2,2025-12,Корпус В,86
Цех 3,2025-01,Деталь А,102
Цех 3,2025-01,Узел Б,88
Цех 3,2025-01,Корпус В,125
Цех 3,2025-02,Деталь А,0
Цех 3,2025-02,Узел Б,89
Цех 3,2025-02,Корпус В,99
Цех 3,2025-03,Деталь А,82
Цех 3,2025-03,Узел Б,93
Цех 3,2025-03,Корпус В,0
Цех 3,2025-04,Деталь А,119
Цех 3,2025-04,Узел Б,0
Цех 3,2025-04,Корпус В,93
Цех 3,2025-05,Деталь А,84
Цех 3,2025-05,Узел Б,100
Цех 3,2025-05,Корпус В,95
Цех 3,2025-06,Деталь А,95
Цех 3,2025-06,Узел Б,97
Цех 3,2025-06,Корпус В,113
Цех 3,2025-07,Деталь А,110
Цех 3,2025-07,Узел Б,110
Цех 3,2025-07,Корпус В,0
Цех 3,2025-08,Деталь А,92
Цех 3,2025-08,Узел Б,78
Цех 3,2025-08,Корпус В,116
Цех 3,2025-09,Деталь А,82
Цех 3,2025-09,Узел Б,82
Цех 3,2025-09,Корпус В,110
Цех 3,2025-10,Деталь А,109
Цех 3,2025-10,Узел Б,96
Цех 3,2025-10,Корпус В,110
Цех 3,2025-11,Деталь А,131
Цех 3,2025-11,Узел Б,112
Цех 3,2025-11,Корпус В,90
Цех 3,2025-12,Деталь А,84
Цех 3,2025-12,Узел Б,97
Цех 3,2025-12,Корпус В,104
Цех 4,2025-01,Деталь А,89
Цех 4,2025-01,Узел Б,92
Цех 4,2025-01,Корпус В,99
Цех 4,2025-02,Деталь А,90
Цех 4,2025-02,Узел Б,109
Цех 4,2025-02,Корпус В,98
Цех 4,2025-03,Деталь А,100
Цех 4,2025-03,Узел Б,117
Цех 4,2025-03,Корпус В,82
Цех 4,2025-04,Деталь А,89
Цех 4,2025-04,Узел Б,104
Цех 4,2025-04,Корпус В,70
Цех 4,2025-05,Деталь А,117
Цех 4,2025-05,Узел Б,121
Цех 4,2025-05,Корпус В,84
Цех 4,2025-06,Деталь А,92
Цех 4,2025-06,Узел Б,88
Цех 4,2025-06,Корпус В,104
Цех 4,2025-07,Деталь А,114
Цех 4,2025-07,Узел Б,124
Цех 4,2025-07,Корпус В,107
Цех 4,2025-08,Деталь А,69
Цех 4,2025-08,Узел Б,95
Цех 4,2025-08,Корпус В,89
Цех 4,2025-09,Деталь А,109
Цех 4,2025-09,Узел Б,100
Цех 4,2025-09,Корпус В,87
Цех 4,2025-10,Деталь А,86
Цех 4,2025-10,Узел Б,75
Цех 4,2025-10,Корпус В,118
Цех 4,2025-11,Деталь А,90
Цех 4,2025-11,Узел Б,115
Цех 4,2025-11,Корпус В,90
Цех 4,2025-12,Деталь А,112
Цех 4,2025-12,Узел Б,86
Цех 4,2025-12,Корпус В,119
Цех 5,2025-01,Деталь А,107
Цех 5,2025-01,Узел Б,133
Цех 5,2025-01,Корпус В,99
Цех 5,2025-02,Деталь А,129
Цех 5,2025-02,Узел Б,108
Цех 5,2025-02,Корпус В,91
Цех 5,2025-03,Деталь А,0
Цех 5,2025-03,Узел Б,73
Цех 5,2025-03,Корпус В,115
Цех 5,2025-04,Деталь А,93
Цех 5,2025-04,Узел Б,92
Цех 5,2025-04,Корпус В,109
Цех 5,2025-05,Деталь А,94
Цех 5,2025-05,Узел Б,91
Цех 5,2025-05,Корпус В,87
Цех 5,2025-06,Деталь А,104
Цех 5,2025-06,Узел Б,0
Цех 5,2025-06,Корпус В,123
Цех 5,2025-07,Деталь А,81
Цех 5,2025-07,Узел Б,119
Цех 5,2025-07,Корпус В,115
Цех 5,2025-08,Деталь А,105
Цех 5,2025-08,Узел Б,102
Цех 5,2025-08,Корпус В,92
Цех 5,2025-09,Деталь А,104
Цех 5,2025-09,Узел Б,93
Цех 5,2025-09,Корпус В,90
Цех 5,2025-10,Деталь А,99
Цех 5,2025-10,Узел Б,119
Цех 5,2025-10,Корпус В,85
Цех 5,2025-11,Деталь А,76
Цех 5,2025-11,Узел Б,90
Цех 5,2025-11,Корпус В,90
Цех 5,2025-12,Деталь А,122
Цех 5,2025-12,Узел Б,83
Цех 5,2025-12,Корпус В,79
