workshop,date,product,fact_qty
Цех 1,2025-01,Деталь А,97
Цех 1,2025-01,Узел Б,92
Цех 1,2025-01,Корпус В,0
Цех 1,2025-02,Деталь А,84
Цех 1,2025-02,Узел Б,80
Цех 1,2025-02,Корпус В,128
Цех 1,2025-03,Деталь А,119
Цех 1,2025-03,Узел Б,120
Цех 1,2025-03,Корпус В,80
Цех 1,2025-04,Деталь А,100
Цех 1,2025-04,Узел Б,74
Цех 1,2025-04,Корпус В,97
Цех 1,2025-05,Деталь А,111
Цех 1,2025-05,Узел Б,101
Цех 1,2025-05,Корпус В,108
Цех 1,2025-06,Деталь А,86
Цех 1,2025-06,Узел Б,88
Цех 1,2025-06,Корпус В,110
Цех 1,2025-07,Деталь А,98
Цех 1,2025-07,Узел Б,85
Цех 1,2025-07,Корпус В,103
Цех 1,2025-08,Деталь А,110
Цех 1,2025-08,Узел Б,100
Цех 1,2025-08,Корпус В,0
Цех 1,2025-09,Деталь А,101
Цех 1,2025-09,Узел Б,107
Цех 1,2025-09,Корпус В,94
Цех 1,2025-10,Деталь А,89
Цех 1,2025-10,Узел Б,90
Цех 1,2025-10,Корпус В,99
Цех 1,2025-11,Деталь А,107
Цех 1,2025-11,Узел Б,90
Цех 1,2025-11,Корпус В,107
Цех 1,2025-12,Деталь А,117
Цех 1,2025-12,Узел Б,98
Цех 1,2025-12,Корпус В,93
Цех 2,2025-01,Деталь А,102
Цех 2,2025-01,Узел Б,77
Цех 2,2025-01,Корпус В,92
Цех 2,2025-02,Деталь А,77
Цех 2,2025-02,Узел Б,107
Цех 2,2025-02,Корпус В,102
Цех 2,2025-03,Деталь А,0
Цех 2,2025-03,Узел Б,116
Цех 2,2025-03,Корпус В,90
Цех 2,2025-04,Деталь А,129
Цех 2,2025-04,Узел Б,92
Цех 2,2025-04,Корпус В,133
Цех 2,2025-05,Деталь А,119
Цех 2,2025-05,Узел Б,111
Цех 2,2025-05,Корпус В,115
Цех 2,2025-06,Деталь А,95
Цех 2,2025-06,Узел Б,76
Цех 2,2025-06,Корпус В,0
Цех 2,2025-07,Деталь А,72
Цех 2,2025-07,Узел Б,0
Цех 2,2025-07,Корпус В,115
Цех 2,2025-08,Деталь А,92
Цех 2,2025-08,Узел Б,77
Цех 2,2025-08,Корпус В,118
Цех 2,2025-09,Деталь А,114
Цех 2,2025-09,Узел Б,96
Цех 2,2025-09,Корпус В,107
Цех 2,2025-10,Деталь А,92
Цех 2,2025-10,Узел Б,84
Цех 2,2025-10,Корпус В,75
Цех 2,2025-11,Деталь А,129
Цех 2,2025-11,Узел Б,113
Цех 2,2025-11,Корпус В,95
Цех 2,2025-12,Деталь А,87
Цех 2,2025-12,Узел Б,119
Цех 2,2025-12,Корпус В,122
Цех 3,2025-01,Деталь А,114
Цех 3,2025-01,Узел Б,100
Цех 3,2025-01,Корпус В,102
Цех 3,2025-02,Деталь А,82
Цех 3,2025-02,Узел Б,90
Цех 3,2025-02,Корпус В,89
Цех 3,2025-03,Деталь А,127
Цех 3,2025-03,Узел Б,106
Цех 3,2025-03,Корпус В,125
