Цех;Период;Продукт;План;Факт;Отклонение;Выполнение %
Цех Alpha;2025-01;Деталь A;108;0;-108;0.0%
Цех Alpha;2025-01;Узел B;121;0;-121;0.0%
Цех Alpha;2025-01;Корпус C;98;0;-98;0.0%
Цех Alpha;2025-01;Модуль D;84;0;-84;0.0%
Цех Alpha;2025-01;Рама E;112;0;-112;0.0%
Цех Alpha;2025-01;Кронштейн F;77;0;-77;0.0%
Цех Alpha;2025-01;Шток G;130;0;-130;0.0%
Цех Alpha;2025-01;Плата H;90;0;-90;0.0%
Цех Alpha;2025-02;Деталь A;108;0;-108;0.0%
Цех Alpha;2025-02;Узел B;127;0;-127;0.0%
Цех Alpha;2025-02;Корпус C;88;0;-88;0.0%
Цех Alpha;2025-02;Модуль D;92;0;-92;0.0%
Цех Alpha;2025-02;Рама E;80;0;-80;0.0%
Цех Alpha;2025-02;Кронштейн F;80;0;-80;0.0%
Цех Alpha;2025-02;Шток G;93;0;-93;0.0%
Цех Alpha;2025-02;Плата H;122;0;-122;0.0%
Цех Alpha;2025-03;Деталь A;105;0;-105;0.0%
Цех Alpha;2025-03;Узел B;109;0;-109;0.0%
Цех Alpha;2025-03;Корпус C;93;0;-93;0.0%
Цех Alpha;2025-03;Модуль D;72;0;-72;0.0%
Цех Alpha;2025-03;Рама E;91;0;-91;0.0%
Цех Alpha;2025-03;Кронштейн F;122;0;-122;0.0%
Цех Alpha;2025-03;Шток G;71;0;-71;0.0%
Цех Alpha;2025-03;Плата H;93;0;-93;0.0%
Цех Alpha;2025-04;Деталь A;113;0;-113;0.0%
Цех Alpha;2025-04;Узел B;99;0;-99;0.0%
Цех Alpha;2025-04;Корпус C;107;0;-107;0.0%
Цех Alpha;2025-04;Модуль D;71;0;-71;0.0%
Цех Alpha;2025-04;Рама E;129;0;-129;0.0%
Цех Alpha;2025-04;Кронштейн F;90;0;-90;0.0%
Цех Alpha;2025-04;Шток G;102;0;-102;0.0%
Цех Alpha;2025-04;Плата H;81;0;-81;0.0%
Цех Alpha;2025-05;Деталь A;127;0;-127;0.0%
Цех Alpha;2025-05;Узел B;91;0;-91;0.0%
Цех Alpha;2025-05;Корпус C;130;0;-130;0.0%
Цех Alpha;2025-05;Модуль D;113;0;-113;0.0%
Цех Alpha;2025-05;Рама E;94;0;-94;0.0%
Цех Alpha;2025-05;Кронштейн F;118;0;-118;0.0%
Цех Alpha;2025-05;Шток G;96;0;-96;0.0%
Цех Alpha;2025-05;Плата H;128;0;-128;0.0%
Цех Alpha;2025-06;Деталь A;111;0;-111;0.0%
Цех Alpha;2025-06;Узел B;97;0;-97;0.0%
Цех Alpha;2025-06;Корпус C;129;0;-129;0.0%
Цех Alpha;2025-06;Модуль D;85;0;-85;0.0%
Цех Alpha;2025-06;Рама E;84;0;-84;0.0%
Цех Alpha;2025-06;Кронштейн F;116;0;-116;0.0%
Цех Alpha;2025-06;Шток G;120;0;-120;0.0%
Цех Alpha;2025-06;Плата H;113;0;-113;0.0%
Цех Alpha;2025-07;Деталь A;124;0;-124;0.0%
Цех Alpha;2025-07;Узел B;121;0;-121;0.0%
Цех Alpha;2025-07;Корпус C;126;0;-126;0.0%
