Цех;Период;Продукт;План;Факт;Отклонение;Выполнение %;Энергоёмкость;Трудоёмкость;Использование времени
Цех Alpha;2025-01;Деталь A;108;85;-23;78.7%;1.08;0.97;43.1%
Цех Alpha;2025-01;Корпус C;98;76;-22;77.6%;1.72;0.55;78.0%
Цех Alpha;2025-01;Кронштейн F;77;122;45;158.4%;1.16;0.56;87.1%
Цех Alpha;2025-01;Модуль D;84;112;28;133.3%;1.21;0.92;56.3%
Цех Alpha;2025-01;Плата H;90;81;-9;90.0%;1.24;0.49;147.0%
Цех Alpha;2025-01;Рама E;112;86;-26;76.8%;1.09;0.74;139.8%
Цех Alpha;2025-01;Узел B;121;106;-15;87.6%;1.35;0.84;30.4%
Цех Alpha;2025-01;Шток G;130;119;-11;91.5%;0.77;0.70;70.4%
Цех Alpha;2025-02;Деталь A;108;110;2;101.9%;1.71;0.92;32.5%
Цех Alpha;2025-02;Корпус C;88;80;-8;90.9%;1.53;0.82;110.2%
Цех Alpha;2025-02;Кронштейн F;80;77;-3;96.2%;1.26;0.37;85.5%
Цех Alpha;2025-02;Модуль D;92;92;0;100.0%;0.76;0.75;21.2%
Цех Alpha;2025-02;Плата H;122;115;-7;94.3%;1.04;0.53;57.8%
Цех Alpha;2025-02;Рама E;80;150;70;187.5%;1.15;0.31;36.5%
Цех Alpha;2025-02;Узел B;127;89;-38;70.1%;1.36;0.64;82.1%
Цех Alpha;2025-02;Шток G;93;128;35;137.6%;1.31;0.69;17.9%
Цех Alpha;2025-03;Деталь A;105;94;-11;89.5%;1.65;0.90;72.6%
Цех Alpha;2025-03;Корпус C;93;102;9;109.7%;1.61;0.49;153.7%
Цех Alpha;2025-03;Кронштейн F;122;141;19;115.6%;1.12;0.35;84.7%
Цех Alpha;2025-03;Модуль D;72;0;-72;0.0%;0.00;0.00;0.0%
Цех Alpha;2025-03;Плата H;93;80;-13;86.0%;1.22;0.69;99.2%
Цех Alpha;2025-03;Рама E;91;94;3;103.3%;1.43;0.29;135.1%
Цех Alpha;2025-03;Узел B;109;107;-2;98.2%;1.35;0.37;127.8%
Цех Alpha;2025-03;Шток G;71;98;27;138.0%;1.64;0.78;40.5%
Цех Alpha;2025-04;Деталь A;113;104;-9;92.0%;1.25;0.64;59.2%
Цех Alpha;2025-04;Корпус C;107;72;-35;67.3%;0.81;0.26;262.4%
Цех Alpha;2025-04;Кронштейн F;90;89;-1;98.9%;1.56;0.38;98.8%
Цех Alpha;2025-04;Модуль D;71;107;36;150.7%;1.21;0.56;67.2%
Цех Alpha;2025-04;Плата H;81;114;33;140.7%;1.62;0.78;66.2%
Цех Alpha;2025-04;Рама E;129;0;-129;0.0%;0.00;0.00;0.0%
Цех Alpha;2025-04;Узел B;99;75;-24;75.8%;1.39;0.66;124.4%
Цех Alpha;2025-04;Шток G;102;121;19;118.6%;1.09;0.34;212.2%
Цех Alpha;2025-05;Деталь A;127;102;-25;80.3%;1.67;0.76;41.9%
Цех Alpha;2025-05;Корпус C;130;119;-11;91.5%;1.52;0.58;97.8%
Цех Alpha;2025-05;Кронштейн F;118;69;-49;58.5%;1.78;0.59;137.0%
Цех Alpha;2025-05;Модуль D;113;79;-34;69.9%;1.76;0.74;158.2%
Цех Alpha;2025-05;Плата H;128;119;-9;93.0%;1.46;0.21;179.1%
Цех Alpha;2025-05;Рама E;94;103;9;109.6%;0.85;0.56;121.9%
Цех Alpha;2025-05;Узел B;91;111;20;122.0%;0.95;0.17;383.6%
Цех Alpha;2025-05;Шток G;96;89;-7;92.7%;0.91;1.09;16.5%
Цех Alpha;2025-06;Деталь A;111;77;-34;69.4%;0.88;0.93;86.3%
Цех Alpha;2025-06;Корпус C;129;108;-21;83.7%;1.73;0.66;61.9%
Цех Alpha;2025-06;Кронштейн F;116;111;-5;95.7%;1.32;0.74;126.2%
Цех Alpha;2025-06;Модуль D;85;89;4;104.7%;1.74;0.98;24.9%
Цех Alpha;2025-06;Плата H;113;134;21;118.6%;0.77;0.27;86.8%
Цех Alpha;2025-06;Рама E;84;86;2;102.4%;1.79;0.95;79.4%
Цех Alpha;2025-06;Узел B;97;93;-4;95.9%;0.87;0.34;190.2%
Цех Alpha;2025-06;Шток G;120;112;-8;93.3%;1.60;0.89;65.2%
Цех Alpha;2025-07;Деталь A;124;0;-124;0.0%;0.00;0.00;0.0%
Цех Alpha;2025-07;Корпус C;126;93;-33;73.8%;1.28;0.51;221.7%
Цех Alpha;2025-07;Кронштейн F;120;94;-26;78.3%;1.04;0.95;47.5%
Цех Alpha;2025-07;Модуль D;72;99;27;137.5%;1.25;0.62;28.1%
Цех Alpha;2025-07;Плата H;90;122;32;135.6%;0.97;0.59;79.2%
Цех Alpha;2025-07;Рама E;106;98;-8;92.5%;1.76;0.54;115.8%
Цех Alpha;2025-07;Узел B;121;93;-28;76.9%;1.39;0.26;83.1%
Цех Alpha;2025-07;Шток G;76;90;14;118.4%;1.43;0.27;177.6%
Цех Alpha;2025-08;Деталь A;78;100;22;128.2%;1.78;0.35;170.0%
Цех Alpha;2025-08;Корпус C;87;71;-16;81.6%;1.80;0.92;21.1%
Цех Alpha;2025-08;Кронштейн F;129;76;-53;58.9%;0.94;0.50;273.8%
Цех Alpha;2025-08;Модуль D;73;97;24;132.9%;1.44;0.95;20.0%
Цех Alpha;2025-08;Плата H;119;86;-33;72.3%;0.95;0.73;114.4%
Цех Alpha;2025-08;Рама E;94;103;9;109.6%;1.22;0.31;242.3%
Цех Alpha;2025-08;Узел B;108;88;-20;81.5%;1.03;0.29;127.2%
Цех Alpha;2025-08;Шток G;83;60;-23;72.3%;1.26;0.14;595.9%
Цех Alpha;2025-09;Деталь A;127;67;-60;52.8%;1.77;0.91;135.8%
Цех Alpha;2025-09;Корпус C;95;101;6;106.3%;1.26;0.27;294.4%
Цех Alpha;2025-09;Кронштейн F;89;0;-89;0.0%;0.00;0.00;0.0%
Цех Alpha;2025-09;Модуль D;122;109;-13;89.3%;1.60;0.72;72.0%
